geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2009,F,Y25-39,TOTAL,843.2,Austria,83.2
AT,2009,F,Y50-64,TOTAL,767.7,Austria,83.2
AT,2009,F,Y50-59,ED0-2,179.3,Austria,83.2
AT,2009,F,Y40-64,TOTAL,1455,Austria,83.2
AT,2009,F,Y50-54,ED3_4,158.3,Austria,83.2
AT,2009,F,Y25-49,TOTAL,1530.5,Austria,83.2
AT,2009,F,Y25-74,ED5-8,412.5,Austria,83.2
AT,2009,F,Y50-59,ED3_4,286.9,Austria,83.2
AT,2009,F,Y25-74,ED0-2,756.1,Austria,83.2
AT,2009,F,Y20-24,ED0-2,35.5,Austria,83.2
AT,2009,F,Y25-54,TOTAL,1820.2,Austria,83.2
AT,2009,F,Y30-34,ED3_4,164.3,Austria,83.2
AT,2009,F,Y15-24,ED5-8,14.3,Austria,83.2
AT,2009,F,Y30-34,ED5-8,63,Austria,83.2
AT,2009,F,Y20-24,TOTAL,253.8,Austria,83.2
AT,2009,F,Y25-59,ED3_4,1246.5,Austria,83.2
AT,2009,F,Y15-24,TOTAL,496.6,Austria,83.2
AT,2009,F,Y40-59,TOTAL,1224.9,Austria,83.2
AT,2009,F,Y25-29,ED5-8,57.4,Austria,83.2
AT,2009,F,Y15-39,ED5-8,193.8,Austria,83.2
AT,2009,F,Y55-64,ED0-2,180.4,Austria,83.2
AT,2009,F,Y65-69,ED3_4,124.1,Austria,83.2
AT,2009,F,Y35-39,ED3_4,189.7,Austria,83.2
AT,2009,F,Y45-49,TOTAL,338.3,Austria,83.2
AT,2009,F,Y55-59,TOTAL,248,Austria,83.2
AT,2009,F,Y25-59,ED0-2,459.4,Austria,83.2
AT,2009,F,Y55-64,TOTAL,478,Austria,83.2
AT,2009,F,Y15-24,ED0-2,234.5,Austria,83.2
AT,2009,F,Y60-64,ED5-8,21.8,Austria,83.2
AT,2009,F,Y20-64,TOTAL,2552,Austria,83.2
AT,2009,F,Y15-59,ED5-8,376.5,Austria,83.2
AT,2009,F,Y15-19,ED3_4,43.6,Austria,83.2
AT,2009,F,Y50-54,ED0-2,88.6,Austria,83.2
AT,2009,F,Y25-54,ED5-8,333.5,Austria,83.2
AT,2009,F,Y20-64,ED3_4,1569.1,Austria,83.2
AT,2009,F,Y55-64,ED5-8,50.6,Austria,83.2
AT,2009,F,Y15-74,ED5-8,426.8,Austria,83.2
AT,2009,F,Y50-64,ED5-8,93.2,Austria,83.2
AT,2009,F,Y25-29,ED3_4,179,Austria,83.2
AT,2009,F,Y25-39,ED0-2,130.6,Austria,83.2
AT,2009,F,Y25-39,ED3_4,533,Austria,83.2
AT,2009,F,Y50-74,ED5-8,121.7,Austria,83.2
AT,2009,F,Y25-64,TOTAL,2298.2,Austria,83.2
AT,2009,F,Y30-34,TOTAL,263.7,Austria,83.2
AT,2009,F,Y15-24,ED3_4,247.7,Austria,83.2
AT,2009,F,Y25-39,ED5-8,179.5,Austria,83.2
AT,2009,F,Y30-34,ED0-2,36.4,Austria,83.2
AT,2009,F,Y45-49,ED3_4,205.6,Austria,83.2
AT,2009,F,Y35-39,ED5-8,59.1,Austria,83.2
AT,2009,F,Y15-19,ED0-2,199,Austria,83.2
AT,2009,F,Y25-54,ED3_4,1117.9,Austria,83.2
AT,2009,F,Y50-74,ED3_4,590.5,Austria,83.2
AT,2009,F,Y20-64,ED5-8,398.2,Austria,83.2
AT,2009,F,Y50-59,TOTAL,537.6,Austria,83.2
AT,2009,F,Y15-64,TOTAL,2794.8,Austria,83.2
AT,2009,F,Y50-74,ED0-2,476,Austria,83.2
AT,2009,F,Y15-39,ED0-2,365.2,Austria,83.2
AT,2009,F,Y25-49,ED3_4,959.6,Austria,83.2
AT,2009,F,Y25-59,ED5-8,362.2,Austria,83.2
AT,2009,F,Y40-44,ED0-2,69.7,Austria,83.2
AT,2009,F,Y15-74,ED3_4,1797.8,Austria,83.2
AT,2009,F,Y50-74,TOTAL,1188.1,Austria,83.2
AT,2009,F,Y25-64,ED3_4,1365,Austria,83.2
AT,2009,F,Y25-29,ED0-2,35.7,Austria,83.2
AT,2009,F,Y50-64,ED0-2,269,Austria,83.2
AT,2009,F,Y15-39,ED3_4,780.8,Austria,83.2
AT,2009,F,Y25-49,ED5-8,290.8,Austria,83.2
AT,2009,F,Y55-59,ED3_4,128.6,Austria,83.2
AT,2009,F,Y35-39,TOTAL,307.5,Austria,83.2
AT,2009,F,Y25-74,TOTAL,2718.6,Austria,83.2
AT,2009,F,Y40-44,TOTAL,349,Austria,83.2
AT,2009,F,Y15-39,TOTAL,1339.8,Austria,83.2
AT,2009,F,Y40-59,ED0-2,328.8,Austria,83.2
AT,2009,F,Y40-64,ED5-8,204.5,Austria,83.2
AT,2009,F,Y45-49,ED5-8,52.9,Austria,83.2
AT,2009,F,Y40-44,ED3_4,221,Austria,83.2
AT,2009,F,Y55-64,ED3_4,247.1,Austria,83.2
