unit,sex,statinfo,geography,date,value
YR,F,LE_0,MT,2012,83.0
YR,F,LE_0,NL,2012,83.0
YR,F,LE_0,NO,2012,83.5
YR,F,LE_0,PL,2012,81.1
YR,F,LE_0,PT,2012,83.6
YR,F,LE_0,RO,2012,78.1
YR,F,LE_0,SE,2012,
YR,F,LE_0,SI,2012,83.3
YR,F,LE_0,SK,2012,79.9
YR,F,LE_0,UK,2012,82.8
YR,M,LE_0,AT,2012,78.4
YR,M,LE_0,BE,2012,77.8
YR,M,LE_0,BG,2012,70.9
YR,M,LE_0,CH,2012,80.6
YR,M,LE_0,CY,2012,78.9
YR,M,LE_0,CZ,2012,75.1
YR,M,LE_0,DE,2012,78.1
YR,M,LE_0,DK,2012,78.1
YR,M,LE_0,EE,2012,71.4
YR,M,LE_0,EL,2012,78.0
YR,M,LE_0,ES,2012,79.5
YR,M,LE_0,EU27_2020,2012,77.1
YR,M,LE_0,EU28,2012,77.4
YR,M,LE_0,FI,2012,77.7
YR,M,LE_0,FR,2012,78.7
YR,M,LE_0,HR,2012,73.9
YR,M,LE_0,HU,2012,71.6
YR,M,LE_0,IE,2012,78.7
YR,M,LE_0,IS,2012,81.6
YR,M,LE_0,IT,2012,79.8
YR,M,LE_0,LT,2012,68.4
YR,M,LE_0,LU,2012,79.1
YR,M,LE_0,LV,2012,68.9
YR,M,LE_0,MT,2012,78.6
YR,M,LE_0,NL,2012,79.3
YR,M,LE_0,NO,2012,79.5
YR,M,LE_0,PL,2012,72.6
YR,M,LE_0,PT,2012,77.3
YR,M,LE_0,RO,2012,70.9
YR,M,LE_0,SE,2012,
YR,M,LE_0,SI,2012,77.1
YR,M,LE_0,SK,2012,72.5
YR,M,LE_0,UK,2012,79.1
YR,F,LE_0,AT,2013,83.8
YR,F,LE_0,BE,2013,83.2
YR,F,LE_0,BG,2013,78.6
YR,F,LE_0,CH,2013,85.0
YR,F,LE_0,CY,2013,85.0
YR,F,LE_0,CZ,2013,81.3
YR,F,LE_0,DE,2013,83.0
YR,F,LE_0,DK,2013,82.4
YR,F,LE_0,EE,2013,81.7
